from, to, param_name, host_spp, param_value, param_ci_low, param_ci_high, source
e[ui]l, q[ui]n, a, NA, 9.883278e-6, NA, NA, Ogden et al. 2005
__e, h_l, a, NA, 2.92e-5, NA, NA, Ogden et al. 2004
e[ui]a, m, a, NA, 1e-4, NA, NA, Ogden et al. 2005
d[ui]a, m, a, NA, 1e-4, NA, NA, Ogden et al. 2005 - value for ENGORGED mort
f[ui]a, m, a, NA, 1e-4, NA, NA, Ogden et al. 2005 - value for ENGORGED mort
q__, f__, a, NA, 4e-4, NA, NA, daily chance a tick finds one given host
e[ui]n, q[ui]a, a, NA, 6.265664e-4, NA, NA, Ogden et al. 2005
e[ui]a, __e, a, NA, 7.692308e-4, NA, NA, Ogden et al. 2004
__e, m, a, NA, 0.002, NA, NA, Ogden et al. 2005
din, m, a, NA, 0.002, NA, NA, Ogden et al. 2005- should be dens dep
dun, m, a, NA, 0.002, NA, NA, Ogden et al. 2005- should be dens dep
fin, m, a, NA, 0.002, NA, NA, Ogden et al. 2005- should be dens dep
fun, m, a, NA, 0.002, NA, NA, Ogden et al. 2005- should be dens dep
e[ui]n, m, a, NA, 0.002, NA, NA, Ogden et al. 2005
e[ui]l, m, a, NA, 0.003, NA, NA, Ogden et al. 2005
[hq]_l, m, a, NA, 0.006, NA, NA, Ogden et al. 2005
q[ui][na], m, a, NA, 0.006, NA, NA, Ogden et al. 2005
h_l, q_l, a, NA, 0.0476, NA, NA, Daniels et al. 1996
f[ui]a, d[ui]a, a, NA, 0.111, NA, NA, Ogden et al. 2005
f[ui]n, d[ui]n, a, NA, 0.25, NA, NA, Ogden et al. 2005
f_l, d_l, a, NA, 0.5, NA, NA, Ogden et al. 2005
[fd]_l, m, a, NA, 0.65, NA, NA, Ogden et al. 2005
[fd]_l, m, b, NA, 0.049, NA, NA, Ogden et al. 2005
e[ui]n, q[ui]a, b, NA, 1.21, NA, NA, Ogden et al. 2005
e[ui]a, __e, b, NA, 1.42, NA, NA, Ogden et al. 2004
__e, h_l, b, NA, 2.27, NA, NA, Ogden et al. 2004
e[ui]l, q[ui]n, b, NA, 2.55, NA, NA, Ogden et al. 2005
[fd]_l, m, c, NA, 1.01, NA, NA, Ogden et al. 2005
___, ___, feed_success, deer, 0.49, NA, NA, Dave theory
__a, __a, feed_success, mouse, 0, NA, NA, Dave theory
__l, __l, feed_success, mouse, 0.49, NA, NA, Dave theory
__n, __n, feed_success, mouse, 0.49, NA, NA, Dave theory
__a, __a, feed_success, squirrel, 0, NA, NA, Dave theory
__l, __l, feed_success, squirrel, 0.17, NA, NA, Dave theory
__n, __n, feed_success, squirrel, 0.17, NA, NA, Dave theory
_i_, ___, from_infected, NA, 1, NA, NA, Dave theory
_[^i]_, ___, from_infected, NA, 0, NA, NA, Dave theory
___, ___, host_rc, deer, 0.046, NA, NA, Dave theory
___, ___, host_rc, mouse, 0.92, NA, NA, Dave theory
___, ___, host_rc, squirrel, 0.147, NA, NA, Dave theory
__l, __l, pref, deer, 0.25, NA, NA, Dave theory
__n, __n, pref, deer, 0.25, NA, NA, Dave theory
d_l, m, pref, deer, 0.25, NA, NA, Dave theory
f_l, m, pref, deer, 0.25, NA, NA, Dave theory
__a, __a, pref, deer, 1, NA, NA, Dave theory
__a, __a, pref, mouse, 0, NA, NA, Dave theory
__l, __l, pref, mouse, 1, NA, NA, Dave theory
__n, __n, pref, mouse, 1, NA, NA, Dave theory
d_l, m, pref, mouse, 1, NA, NA, Dave theory
f_l, m, pref, mouse, 1, NA, NA, Dave theory
__a, __a, pref, squirrel, 0, NA, NA, Dave theory
__l, __l, pref, squirrel, 0.75, NA, NA, Dave theory
d_l, m, pref, squirrel, 0.75, NA, NA, Dave theory
f_l, m, pref, squirrel, 0.75, NA, NA, Dave theory
__n, __n, pref, squirrel, 1, NA, NA, Dave theory
q_[ln], f_[ln], q, NA, 7e-4, NA, NA, Ogden et al. 2005
q_a, f_a, q, NA, 0.0088, NA, NA, Ogden et al. 2005
q_a, f_a, tmax, NA, 16, NA, NA, Ogden et al. 2005
q_l, f_l, tmax, NA, 35, NA, NA, Ogden et al. 2005
q_n, f_n, tmax, NA, 35, NA, NA, Ogden et al. 2005
q_a, f_a, tmin, NA, 3, NA, NA, Ogden et al. 2005
q_l, f_l, tmin, NA, 10, NA, NA, Ogden et al. 2005
q_n, f_n, tmin, NA, 10, NA, NA, Ogden et al. 2005
___, _i_, to_infected, NA, 1, NA, NA, Dave theory
___, _[^i], to_infected, NA, 0, NA, NA, Dave theory

